Year,Month,TotalRainfall,MostRainfallInDay,RainDays
1962.00,1.00,134.60,12.50,22.00
1962.00,2.00,77.20,11.20,17.00
1962.00,3.00,73.60,13.40,13.00
1962.00,4.00,68.60,20.60,17.00
1962.00,5.00,80.70,22.70,16.00
1962.00,6.00,50.20,28.30,11.00
1962.00,7.00,92.20,18.50,15.00
1962.00,8.00,99.40,25.80,19.00
1962.00,9.00,122.40,31.10,19.00
1962.00,10.00,42.60,15.10,12.00
1962.00,11.00,105.50,23.70,14.00
1962.00,12.00,86.40,23.60,18.00
1963.00,1.00,34.80,14.90,13.00
1963.00,2.00,96.00,19.70,11.00
1963.00,3.00,212.50,30.50,25.00
1963.00,4.00,113.70,29.20,20.00
1963.00,5.00,53.90,7.60,19.00
1963.00,6.00,46.20,8.60,15.00
1963.00,7.00,76.60,16.90,14.00
1963.00,8.00,104.30,40.60,22.00
1963.00,9.00,39.50,8.80,16.00
1963.00,10.00,143.10,56.00,21.00
1963.00,11.00,206.90,35.20,24.00
1963.00,12.00,112.90,37.00,17.00
1964.00,1.00,35.90,12.60,17.00
1964.00,2.00,166.40,46.30,19.00
1964.00,3.00,233.90,28.70,20.00
1964.00,4.00,82.90,16.60,20.00
1964.00,5.00,106.70,17.10,21.00
1964.00,6.00,89.80,18.10,16.00
1964.00,7.00,71.50,22.20,16.00
1964.00,8.00,134.60,63.70,16.00
1964.00,9.00,75.60,26.70,17.00
1964.00,10.00,80.20,13.10,19.00
1964.00,11.00,73.90,21.00,15.00
1964.00,12.00,152.10,38.30,19.00
1965.00,1.00,141.60,31.00,19.00
1965.00,2.00,5.90,2.30,6.00
1965.00,3.00,132.60,20.10,17.00
1965.00,4.00,98.40,27.60,19.00
1965.00,5.00,100.50,25.00,19.00
1965.00,6.00,128.80,26.80,20.00
1965.00,7.00,98.30,17.80,17.00
1965.00,8.00,79.00,20.40,17.00
1965.00,9.00,94.10,51.80,19.00
1965.00,10.00,35.40,10.70,12.00
1965.00,11.00,206.90,69.90,22.00
1965.00,12.00,196.20,28.80,23.00
1966.00,1.00,209.80,42.80,21.00
1966.00,2.00,299.90,43.50,27.00
1966.00,3.00,37.60,9.80,17.00
1966.00,4.00,235.60,36.60,21.00
1966.00,5.00,80.90,13.80,17.00
1966.00,6.00,102.20,20.30,19.00
1966.00,7.00,21.30,10.70,10.00
1966.00,8.00,90.00,18.50,19.00
1966.00,9.00,82.60,34.40,13.00
1966.00,10.00,232.20,34.30,19.00
1966.00,11.00,37.60,6.70,17.00
1966.00,12.00,84.40,11.90,23.00
1967.00,1.00,121.40,20.30,17.00
1967.00,2.00,136.20,26.70,18.00
1967.00,3.00,34.10,6.10,17.00
1967.00,4.00,18.10,9.10,7.00
1967.00,5.00,134.70,20.00,25.00
1967.00,6.00,35.90,11.20,7.00
1967.00,7.00,99.30,18.60,19.00
1967.00,8.00,101.90,25.40,18.00
1967.00,9.00,148.00,35.50,20.00
1967.00,10.00,151.10,26.60,25.00
1967.00,11.00,64.20,15.70,17.00
1967.00,12.00,65.00,19.60,17.00
1968.00,1.00,96.50,14.00,20.00
1968.00,2.00,64.30,31.40,11.00
1968.00,3.00,70.80,19.90,14.00
1968.00,4.00,92.60,24.40,18.00
1968.00,5.00,79.70,34.70,16.00
1968.00,6.00,59.80,16.30,15.00
1968.00,7.00,55.90,32.40,7.00
1968.00,8.00,74.60,13.90,11.00
1968.00,9.00,156.90,41.60,21.00
1968.00,10.00,152.60,23.80,23.00
1968.00,11.00,186.80,36.20,23.00
1968.00,12.00,174.20,48.10,20.00
1969.00,1.00,275.00,55.10,21.00
1969.00,2.00,54.40,11.20,22.00
1969.00,3.00,79.20,23.60,13.00
1969.00,4.00,71.20,20.40,14.00
1969.00,5.00,117.60,22.80,20.00
1969.00,6.00,84.50,24.60,12.00
1969.00,7.00,28.60,13.80,8.00
1969.00,8.00,38.40,8.30,11.00
1969.00,9.00,51.30,14.70,12.00
1969.00,10.00,38.70,14.50,18.00
1969.00,11.00,113.10,22.10,19.00
1969.00,12.00,101.80,13.20,21.00
1970.00,1.00,219.10,33.60,19.00
1970.00,2.00,93.60,13.30,20.00
1970.00,3.00,35.40,11.80,18.00
1970.00,4.00,71.80,16.90,20.00
1970.00,5.00,33.60,13.80,10.00
1970.00,6.00,56.80,15.40,11.00
1970.00,7.00,86.30,18.20,15.00
1970.00,8.00,48.30,23.10,7.00
1970.00,9.00,111.00,23.20,23.00
1970.00,10.00,36.30,7.00,16.00
1970.00,11.00,216.30,39.60,21.00
1970.00,12.00,39.00,8.50,13.00
1971.00,1.00,162.60,27.30,24.00
1971.00,2.00,34.20,7.10,12.00
1971.00,3.00,47.20,22.10,15.00
